worker_id,task_id,task_response_id,Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Category 1,Category 2,Category 3,Severity Rating,Severity Description
QD6PJTFGJ63Q,f390a9eb-5df1-4d0d-b5be-91675d5588c2,437545c6-50a2-4255-b5d3-6955b7f5d4f4,punkasses,ass,"","",other / general insult,none,none,1.2,Mild
MC9FDWZJH4JZ,2a359105-b7a4-4128-b13f-80825cc384ce,19b0ea65-ca93-4110-a798-e4afb734e00e,phucker,fuck,"","",sexual anatomy / sexual acts,none,none,2.2,Strong
QD6PJTFGJ63Q,a7aeeb85-2654-43c1-bee6-335c6708ba45,474a4448-cbad-4a53-8245-28f541f9e8d0,pussy fucker,fuck,"","",sexual anatomy / sexual acts,none,none,2.8,Severe
7R66DKNPF2JG,0951cfef-a18c-421c-b87b-0d23f10ca53e,8723e492-8c72-44eb-9237-1e30d4f1d4b8,phucked,fuck,"","",sexual anatomy / sexual acts,none,none,2,Strong
DXP9KRP4R942,65f89782-6b8d-4c55-b302-e64a64123beb,48d34269-b371-4bdb-a5ef-b40ba70698b4,r3t@rd,retard,"","",mental disability,none,none,2.8,Severe
KHP239VPK9M3,c2e2bc5b-22ca-4ca0-af9a-62583fa144be,86d0c228-6d54-4a56-8d90-10e96a206b54,phukeds,fuck,"","",sexual anatomy / sexual acts,none,none,2,Strong
QQYCQPQK6WFA,1545e20c-8c38-4aca-9d97-f533b95da977,1eaf032e-e826-40a9-bd90-c1f0999554c5,pig fucker,fuck,pig,"",sexual anatomy / sexual acts,animal references,none,2.8,Severe
KKGQRZWNCHJK,711e0521-e090-4942-8437-146c21f2c1ff,69a7e4c6-2871-42f0-9f95-e66eed0faf39,phuks,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2.2,Strong
4JATFGXWXQXX,0fcc4c55-74c3-4602-9874-3fc5d70e11b5,7bb7eb8e-fca8-43ea-9df6-9c17a3cd15af,phukkeds,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2,Strong
TRZKH4HK4646,e08ff3da-bbe1-4874-bd61-6745b5c70441,b54090a9-ed86-400d-8bf8-862924aa6af4,phags,faggot,"","",sexual orientation / gender,none,none,3,Severe
7YE67VWQC43W,d4e44e35-b18e-4f5b-809e-4eaf7630b431,c2edf523-ebec-4e1a-ad5e-8ead8004b476,retardo,retard,"","",physical disability,mental disability,none,2.6,Severe
ADCXHGCQRA34,362e00fc-b7f3-44c2-bce0-264a99af7677,12a78707-1023-4e36-9fa6-f5bd3e9b5a0c,phuk,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2,Strong
FVGNDRJMNVA7,f085c0e2-1400-4b24-aea7-d1cf804dada7,c1cfd6b1-b97e-4f98-aa35-16dc723b455b,punani,punani,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
NJVC7EWZEGNF,8d4db0ff-e0cc-4feb-8e80-3e6c1a5f2e01,54b1b5c0-5dc2-41ca-a322-e177653b85e3,phuking,fuck,"","",sexual anatomy / sexual acts,none,none,2.2,Strong
WYYRGVWFY6XA,3230bda0-0738-402f-b426-2f80b71031e3,9078559d-126a-40a2-9afc-d719bc9a4d39,pussys,pussy,"","",sexual anatomy / sexual acts,none,none,2,Strong
T3RMAEPRMD6J,6975689a-8864-4481-b390-1a893f67ab2d,6fa1a5d7-0886-4b9a-baba-269451f5f29b,pussy licker,pussy,"","",sexual anatomy / sexual acts,none,none,2.4,Strong
FVGNDRJMNVA7,e3d8367c-a506-472b-bddc-6c32e453de37,5e5bb74e-5684-4adb-a54e-977c1824dbdd,phucking,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2.4,Strong
TRZKH4HK4646,23543bfb-6fa3-4d71-9f17-2898dece1e2f,713e5547-d81b-4b94-889a-cbc290e3e005,pigfucking,fuck,pig,"",sexual anatomy / sexual acts,animal references,none,2.6,Severe
PKAFWTW2AW2G,de8b4cf1-01b8-4a8f-8867-e78404681ea5,3fe21c4f-2770-4db1-a62a-46f8c9da5b9e,prick-face,prick,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
VME4939DFDXR,3b938c11-72b5-49fe-a681-3c504d742c55,12881cae-68ee-4f1e-9621-c90b2d72e536,pussy lick,pussy,"","",sexual anatomy / sexual acts,none,none,2.4,Strong
4TR6J693M9XK,ca629b4b-e0dc-4413-b9fc-3ce56367716e,fa7545ed-27b9-4fe6-8fa6-938ebfc72c72,pricks,prick,"","",sexual anatomy / sexual acts,none,none,1,Mild
C69D7VD39FKM,b4001f98-8d5f-4bf3-8d72-0679e70ee302,443e0af5-b4cd-45b8-b74c-48774614200a,pussylickers,pussy,"","",sexual anatomy / sexual acts,none,none,2.8,Severe
F3FCR777FCDY,46e95436-0979-4e64-9896-7ab925502f38,848bf868-f184-4a4f-848e-2cd3e62d5b79,pusslicker,pussy,"","",sexual anatomy / sexual acts,none,none,2.2,Strong
EZCVAWE2HAMP,ffb07106-133c-4d2b-8873-397c786f2f9c,9fc2fe2a-9ecf-4e09-818e-2d8ba718242b,piss face,piss,"","",bodily fluids / excrement,none,none,1.4,Mild
EZCVAWE2HAMP,3d104284-1886-4abc-90f7-8deee5d6c910,2bb0430d-f924-4e72-87a3-aa7b4f107c45,phucc,fuck,"","",sexual anatomy / sexual acts,none,none,2,Strong
JW992R3C66V9,5e33b9c5-8645-4afb-8fc5-fd40bf78bad9,c0f324bf-6247-4ee7-94e2-15ab5c2201ad,pussless,pussy,"","",sexual anatomy / sexual acts,none,none,2,Strong
YKR74H2QRD6F,752abb14-1f7b-456b-810b-fdfb3ef57505,d2bdb08e-2680-4e2c-8f99-bdf831b65e6e,ramrod,ramrod,"","",sexual anatomy / sexual acts,none,none,1,Mild
6CNHTCG6W6XM,3e576c85-1240-4694-990a-12966fe97818,a3652b0e-1e67-476b-800e-9770224fb18c,phucchead,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2,Strong
7FWVPWN76TG6,8f8d3b60-6851-4954-afdc-3c99f08c4e8f,60c0e652-2cdf-427e-a5b6-0a5a4229da95,phuked,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,2.2,Strong
9EN7PWYA6G4F,77c31a7d-d7f4-4a7b-a90c-29080c420c8c,09adf8bc-f2c7-4736-a2a0-5e46b69a0df6,phuck3r,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,1.8,Strong
KHP239VPK9M3,fcc12dbd-d0e9-480d-a7eb-02f95ea77bc0,5791e510-37c6-4349-864c-b99be9c68acf,rat baztad,bastard,"","",animal references,none,none,1.8,Strong
DMDJ3QQK6JN9,f9bfa8fc-85e2-4302-9852-b1b5dff2bc32,8f7e35c8-3481-46aa-b137-5e729da59156,phuqs,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,1.8,Strong
DXP9KRP4R942,a12aaac9-eca3-4b15-b4fb-53bde76e9d0b,dc86d100-2bd3-4d86-9cb2-864c6d6d59f6,phuccing,fuck,"","",sexual anatomy / sexual acts,other / general insult,none,1.8,Strong
7R66DKNPF2JG,d899f660-2f5d-45dd-9a13-ce64854a8367,aeb68f63-3453-4c0d-856e-82a658066897,pigfukker,fuck,pig,"",sexual anatomy / sexual acts,animal references,none,2.8,Severe
T3RMAEPRMD6J,621d41a7-7c07-4f8c-9f0c-84efe84857c0,fe1d11c2-b5e3-4596-9d50-f9b5e1aa3a1e,nigra,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
7R66DKNPF2JG,c666d040-2efb-44ef-a815-b7719f755be7,11c5301c-14b0-4bf4-8f8e-521e50dd13d9,peter puffer,peter puffer,"","",sexual orientation / gender,sexual anatomy / sexual acts,none,1.8,Strong
6CNHTCG6W6XM,29025a4f-f6ee-4773-b153-f89a1142326c,c526c9fd-dd00-44e8-bac2-4969e8b23d4b,packingfudge,fudge packer,"","",sexual anatomy / sexual acts,bodily fluids / excrement,none,2.4,Strong
RFY2TXGZTRGG,3c024afd-5dea-4350-8525-50e2beef1141,ecdf63ec-8390-4c86-bcac-494895295b98,niggazzes,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
MT9NV29W32YF,150a3c95-5108-4704-89fa-9cefe28ae301,4aa15d50-d22e-4112-a593-e8c306b23850,packsomefudgefucker,fudge packer,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
WYWGJAYCCA6D,3e236e6c-e2d1-420c-813c-a1c4afff21ba,a6bb86d1-d942-443b-86bb-3116cb0e1174,nigger lover,nigger,"","",racial / ethnic slurs,sexual anatomy / sexual acts,none,3,Severe
YKR74H2QRD6F,e7a6430c-0754-4d96-bf80-aac708224649,278d54c1-c858-473f-8ba7-3e0103cd2145,nobhead,knob,"","",sexual anatomy / sexual acts,none,none,1.6,Strong
JM3Z9KRW4NAZ,dda4101d-1650-4256-a3fb-ec5331bd9706,625c41f6-e28f-4717-b25a-a68c29fea5ad,packingfudgefucking,fudge packer,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.4,Strong
VNAQPVX4R36A,215d1f11-15d3-408b-a2b2-35d7ed1153c8,93bc7a99-4287-4981-ae03-d61aaa869da8,penisfuccer,penis,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe
RFY2TXGZTRGG,2ebbea78-e3bd-4070-bb88-d883039ebd67,457c5017-893c-41b9-bafb-7f4dbe689849,nob jockey,knob,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,2.2,Strong
T3RMAEPRMD6J,3d3ed63a-4ac5-4a87-8ad2-0a40241a1a47,a2f49a4e-007f-48dd-a70d-1c33798a86be,p3n1shead,penis,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
VME4939DFDXR,652dd3e5-aaf6-4379-b4e6-403d99e7013a,16656397-8a4d-40f9-87ad-32a962369109,niguh,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
TRZKH4HK4646,4e1cc83f-0b99-4ff4-9612-0f5802b3c775,ef61d57f-119c-4d35-90fc-ba48ea99bed8,nympho,nymph,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1,Mild
MTCJYTYKKHZJ,950bfaa3-9365-4860-afc6-15b8590a88e1,384ef0bc-484e-4b40-8cfa-8c480d454265,nigger,nigger,"","",racial / ethnic slurs,none,none,3,Severe
7EYWM49RWZ63,e0e861a8-0936-46ca-97ac-2fe943d37acf,3f38c22a-bca3-4e8e-a219-ebdf026906fe,nigah,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
T3RMAEPRMD6J,f6864834-69c6-4725-9677-bd8da386a1ea,de319b21-4a58-4d95-9b5d-e65351f2485f,nobjokey,knob,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,2,Strong
9RTHMKDNG4K2,6807bbb1-3424-486b-b6f3-ce7b18eda202,55135082-391c-4a69-b17b-0fa8ee63f703,p3nisfvcker,penis,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe
VNAQPVX4R36A,f61d43f3-0fce-4e0f-bc3a-e10e169cb913,538843a6-05f0-4956-9e89-3f15ae0b3511,penisfvcker,penis,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,none,3,Severe
DMH4WEANDDF7,c7392a3e-6247-4247-adb2-610758296c9f,32148c2a-77f6-4ded-8a2e-4cc5db472526,niggah,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
ADCXHGCQRA34,9c29a64e-fbd3-4aa7-895f-a5cc99dd86d1,62d8a074-362f-4d65-a118-7a556e44df59,nigasses,nigger,ass,"",racial / ethnic slurs,none,none,3,Severe
ZWJMPXDTKNQD,df063b88-9502-4c97-ae1c-7e5f0f3efad0,0996adc2-cc60-4146-bf56-0c1cf5eaec15,nut butter,nut butter,"","",bodily fluids / excrement,none,none,1.4,Mild
6CNHTCG6W6XM,88ef7924-03a6-42ea-84d7-4b51882383cf,44cefa2c-3cd9-489b-8a6f-1bc5c4987747,palm jockey,palm jockey,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
76VNAHQ9VAC3,40593ffc-6be6-4c2f-9601-beba7c08d05a,c9eaec02-dbd6-4854-a471-933338334eb6,penisfcker,penis,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,none,3,Severe
KKGQRZWNCHJK,167bf2f6-1201-4b9e-b5ab-1a1ac08a3ceb,9432f07d-4e55-47d1-8efc-d3373d85eccb,niggahs,nigger,"","",racial / ethnic slurs,none,none,2.2,Strong
DXP9KRP4R942,925b8689-9062-4657-9217-5730cca158d8,45cc80f7-d972-4395-80d6-7e5d7a63724f,paki,paki,"","",racial / ethnic slurs,none,none,2.6,Severe
NJVC7EWZEGNF,0fec0876-5340-4c78-9a7e-e58cd2b42834,5d4045dd-cff6-401f-8bd4-324f32d4e4c3,nigguh,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
VNAQPVX4R36A,c600870e-a3b9-4d63-8c0c-5813415fab25,4432100b-be52-420b-a5ba-e2042852e293,nigg4hs,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
76VNAHQ9VAC3,927d4e5a-f9b1-4894-8910-93c40a42b6e2,ae69e4eb-d465-4ad0-8b8b-ed04dd5c2d1d,p3nisfvckers,penis,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe
7ZGW996YFZ6X,0914631f-c0ca-4386-a187-6beef510c1f2,75565d3c-aecc-421e-9cf7-d47819730c54,packing fudgehead,fudge packer,"","",bodily fluids / excrement,sexual anatomy / sexual acts,sexual orientation / gender,1.8,Strong
X6P6DQRXD62A,efe62422-43f0-4d75-a667-ef2bee2ea35b,1adbd2cd-3221-48f2-b11d-fd549a6b401d,p3nisfcukers,fuck,penis,"",sexual anatomy / sexual acts,sexual orientation / gender,none,2.8,Severe
CEHXHWFAVDAD,8cc1d655-bf79-4f7a-bb88-7844c9b2efb0,c33473ba-655c-42a3-b790-04121bb481b6,nuggets,nigger,"","",racial / ethnic slurs,bodily fluids / excrement,none,1.2,Mild
FVGNDRJMNVA7,97399cf6-202c-4869-9f3a-11bb25eb2142,7b5e9e19-ae0e-4d26-9097-189c29ed5335,nonce,nonce,"","",other / general insult,none,none,1.4,Mild
RFY2TXGZTRGG,165d32a4-9334-48d2-99ab-f64491f35480,08bd5687-8bdd-4aa8-83b3-207a5cb7fb12,nob jokeys,knob,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong
DMH4WEANDDF7,824d79c5-ecd5-4c11-9770-679f2b906bea,90b884b4-051c-47e5-b8a6-648f50a8970f,nobj0key,knob,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong
DMH4WEANDDF7,2433a7bd-d14d-4dac-85dc-13ff35320fb9,4abbc5f4-53a2-4f63-9979-3d406b9af84b,penisfuckers,fuck,penis,"",sexual anatomy / sexual acts,sexual orientation / gender,none,3,Severe
7FWVPWN76TG6,5d2204af-d13c-4c24-b4f0-3b91e8f425a9,81f2ee08-7510-4fd2-bb83-6a9a05d4879d,pedos,pedophile,"","",other / general insult,none,none,2.4,Strong
KKGQRZWNCHJK,c423e7d9-ff0e-4206-aafc-5d5eec066557,a103554c-1b86-47fa-9d23-b4326429a04a,nuckas,nigger,"","",racial / ethnic slurs,none,none,2.6,Severe
TATMTQ3AXJX6,b37ddc98-e27c-4478-aea4-c83b8c3d5377,6c0320bd-b204-495c-8cae-c94b9f28b298,nigga,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
CAG2KV7YTM69,38288ad5-6c73-4d63-a82f-7f0ccacdea36,08f06297-af33-4252-9fc9-e519adfe9757,nobheads,knob,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
KHP239VPK9M3,439c65a6-e2b4-4e8c-b5ec-e94e588f6b29,29158e13-49cb-4f8d-8d2e-4c8eeae5a840,nip,nipple,"","",sexual anatomy / sexual acts,none,none,2,Strong
CEHXHWFAVDAD,c2e71e42-f24a-4b7c-a720-e33399b2a448,f20e0b7b-77f0-4a6d-93ea-8f891a99e8c6,niggass,nigger,ass,"",racial / ethnic slurs,none,none,2.6,Severe
F7G9FM2Q9CC4,d7faf4ea-2fe1-4c90-9fed-206a72f41b2b,bd7bd446-dd83-4f69-add4-0fca02cf15e1,nikker,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
VME4939DFDXR,0934d702-6dbe-41a3-ac7f-b17b88a1c191,edde168b-08a0-4098-98a2-5c0e1e1f7baf,pedobear,pedophile,"","",sexual orientation / gender,none,none,2,Strong
73FP3QEHRD7V,bd392a26-8de1-4508-b805-1beeae3567b2,7910cbb0-45cc-4532-af7f-2f6bba98368a,nigg@hs,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
RFY2TXGZTRGG,ed241ffa-1d8a-489f-b861-246ee95bcb0b,3614f72e-f104-48dd-8075-f7e52c23af43,nikk3r,nigger,"","",racial / ethnic slurs,none,none,3,Severe
QEZAEMV2WF9D,51c0799c-d655-4a14-8c32-5f514bf7b423,2a1a676e-a39b-4cd6-b92a-2972f5e87709,niggers,nigger,"","",racial / ethnic slurs,none,none,3,Severe
76VNAHQ9VAC3,16f7d44a-3c9d-4ee6-8ebc-05ac2d257f38,baaea3a8-82ba-4fbe-b850-498f727038b5,oven dodger,oven dodger,"","",racial / ethnic slurs,none,none,2,Strong
N4F97QJYAMTH,770c4d6f-a569-4b42-982d-b4d7ac5e0054,7d6e3690-d2dc-4e4e-8ebc-54f4c5eccc46,packerfudgehead,fudge packer,"","",sexual anatomy / sexual acts,bodily fluids / excrement,none,2.2,Strong
72RMC62CGZNX,41a4a071-6cce-4334-bdbf-e64cf847ca75,6e2fed23-1a1c-4eaa-a7f3-a033c098660a,niggir,nigger,"","",racial / ethnic slurs,none,none,3,Severe
TQTF3MXZ4D4Q,24a1c222-d2c6-491b-a0dd-d8f3b83a331b,b45c8089-ae6b-4f87-a6c6-b48810be769c,pedo,pedophile,"","",sexual anatomy / sexual acts,other / general insult,none,2.2,Strong
ZPKZ7DZQ4Y2J,ae3241c9-04c1-4541-8151-323fccedaef8,5432f91c-e8de-4e26-bec1-3a9189bb6879,nobjockies,knob,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,1.8,Strong
6CRGYVYGRKNR,b9162961-a850-4f4a-b6cb-36da02662c2e,b13901c1-1cb7-46a4-b66f-b7d21fb450fb,pecker,pecker,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
3796EY394VG3,d9ea41cd-3cba-4a46-b4f5-d85e56733df0,c38b0e64-410f-4e71-850f-c2204054804f,nigers,nigger,"","",racial / ethnic slurs,none,none,3,Severe
TC9FHXCXZWRA,5232142c-ae90-4a60-86eb-c030226c3b77,77b4db9e-e0b3-47b4-a069-3f565ed204ba,nigga lover,nigger,"","",racial / ethnic slurs,none,none,3,Severe
VDCA2EXAVGNA,448cbda6-f412-4f32-a008-01378162e571,ebe9efa9-fdbf-4cc3-90e9-4f5019ec3dcc,nigg3rs,nigger,"","",racial / ethnic slurs,none,none,3,Severe
ZFEQJC4ERT29,5221f5c9-0671-491a-943c-a4714fe09b51,6e4ceda1-a06b-420a-a1a4-6816db376c76,niggaz,nigger,"","",racial / ethnic slurs,none,none,2.2,Strong
7CA7ZZVKM7WF,40cb9e37-6b00-4b0b-a306-623920bdf467,1e90e7c5-8116-4b23-92de-a6fb38515910,nikkas,nigger,"","",racial / ethnic slurs,none,none,3,Severe
ZPKZ7DZQ4Y2J,e67e27dc-fc9b-47fd-8e09-55d43632b3e2,e65cb405-d629-4b70-9700-772d1d552d6e,peen,penis,"","",sexual anatomy / sexual acts,none,none,1,Mild
7CA7ZZVKM7WF,5168d228-d779-4b92-9a06-c1b8afd8a0e0,d3fc7fa4-e558-4d8e-ad72-eef427897a52,nobjocky,knob,"","",sexual anatomy / sexual acts,sexual orientation / gender,none,2.4,Strong
7N79W4MCYAVW,51303c6a-6a96-4173-831a-d474ba6ae9f7,4c2db0d6-eb65-4258-af77-5660e3617d49,peener,penis,"","",sexual anatomy / sexual acts,none,none,1,Mild
4TG67HVWJNDP,50f59c8e-93c6-4260-bb53-4a2aa0e81d84,2ce9c183-02a0-45d8-b557-15423c6e2e91,nigg4h,nigger,"","",racial / ethnic slurs,none,none,3,Severe
ZFEQJC4ERT29,50c30e34-0ebd-45c6-9286-c2aff47cd08e,c9cc7539-80e3-4b79-93a6-6a2ea41d44ca,nigre,nigger,nigga,"",racial / ethnic slurs,none,none,3,Severe
6XFJ6ADHNKEZ,d6858952-1151-4128-b9af-5070a8c0a0a8,6ed124bb-587f-4e78-84b7-42c7244f8fdf,nigg@s,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
ZFEQJC4ERT29,b32fcb08-9bb9-4d84-90c8-805fdaeb8e76,44e80ce8-4b2c-4bed-9508-18346c801c4b,pedoz,pedophile,"","",sexual anatomy / sexual acts,other / general insult,none,2,Strong
T7FRE9A966VX,a00ae5a0-f215-4a7d-b733-2c6b5acc28ab,2e25cf24-5da2-401a-986e-78c15d854040,niggress,nigger,"","",racial / ethnic slurs,none,none,3,Severe
GGXWVNZT3PAC,2d409e8f-1ec9-4db3-9f40-949564fa2adf,a5ad22c7-489e-465a-8b19-9b0b3fdbe7c8,nigg@z,nigger,"","",racial / ethnic slurs,none,none,2.6,Severe
AMXMPYF9CYAJ,66d97459-b87f-447a-9414-3a2a610d2c1a,c09cdb3e-39b9-4b8c-b4fd-e3924277542f,pedophl,pedophile,"","",sexual anatomy / sexual acts,other / general insult,none,2.2,Strong
QHKQ32WVQEGN,e9792184-51dd-4612-8b17-5bbe2a6eb8db,b83bffd8-9f6e-42f0-84ad-b08fc374394e,nutsack,nutsack,"","",sexual anatomy / sexual acts,none,none,1.8,Strong
WQCJVFDPQFEC,490d9e77-550c-40a4-b239-da7f3a2324fb,8d548835-ecce-4520-9b9b-1026e62e6a14,nobbyhead,knob,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
XJKGQQWFXKTX,07a58f0c-c667-4303-a5f4-0695b88f02dc,af5345fa-fd2d-437c-925e-76dbc9d0ee05,penishead,penis,"","",sexual anatomy / sexual acts,none,none,1.4,Mild
7CA7ZZVKM7WF,485707e2-ccbd-4cd9-9131-d916092275a2,1f2f3403-7a90-4d62-a2ac-1584d8b5fe71,nobjokeys,knob,"","",sexual orientation / gender,none,none,1.8,Strong
HWDQZR3ZTFRN,622cd86a-ca70-4f2f-a328-baf9dd814e83,858365a1-0e1c-4ed7-8a24-da05b491de42,nymphomaniac,nymph,"","",other / general insult,none,none,1.4,Mild
AZZDZJGYZWJ3,8ff20c3c-2bfb-4cd4-a03a-d251055d2834,8c78b9c9-4697-44a2-a284-630a149772ad,packingfudgefucker,fudge packer,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,bodily fluids / excrement,2.8,Severe
6CRGYVYGRKNR,46557485-1a75-41c5-a772-0c86add9e0ff,e0fb7ab0-e65f-45f6-ae9e-23637a562c32,octopussy,pussy,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
4KDNMYPMNZXC,2fcd0e7c-1855-4557-a4fc-c390ae66f841,d58d2000-e659-422c-bcdb-25a08ad59216,nigguhz,nigger,"","",racial / ethnic slurs,none,none,3,Severe
2TF6K69NCTKJ,f9e4feae-97dc-4621-a7db-763b688d14f9,b4631455-fecf-4dc1-8dc6-97f1da36e5b5,niggas,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
72RMC62CGZNX,e9605655-92a5-47c9-a69b-10ff41533480,1109d197-b77c-4b31-a709-a83ec212918c,phaggots,faggot,"","",sexual orientation / gender,none,none,3,Severe
YKFXDFCC3WM2,4a9fc7b9-cdf6-484f-952c-6df03fd981f1,eded828c-298d-49ef-b54d-ac2cd4ff354f,nignigs,nigger,"","",racial / ethnic slurs,none,none,3,Severe
QRFN2MNYRJMF,69ed8d80-0828-455d-a1fe-9db1b0931556,c2c1e29a-364e-4735-aa18-19e2d21dc12b,penisfucker,fuck,penis,"",sexual anatomy / sexual acts,none,none,3,Severe
TQTF3MXZ4D4Q,c8f73bcb-59d7-4c03-9860-75eb59f3a6f2,1ec5ec9d-39b3-4936-8682-989cda39a60b,phaggot,faggot,"","",sexual orientation / gender,none,none,2.8,Severe
4RHRV9MACQGW,7e3fbd7b-cc36-40c3-9f7b-ee739dbbf22d,c548abbe-e855-4d1a-b2ce-7dd80dc52ac7,pack my fudge,fudge packer,"","",sexual anatomy / sexual acts,bodily fluids / excrement,none,2,Strong
Z239E43AATKE,5edfa792-007a-4414-8b02-5e611841ed42,420e2900-b6ae-45af-bcd8-8df383590f99,ph@ggots,faggot,"","",sexual orientation / gender,none,none,2.8,Severe
DCRRXJFVW7R3,406b11af-c440-4eaf-a582-c890acc8e6d8,aa0482ae-81b6-46c0-8b20-86238973524a,peter,peter puffer,"","",sexual anatomy / sexual acts,none,none,1,Mild
QRFN2MNYRJMF,0001791e-6070-462c-a857-b1f05cb35051,5845f1f5-53b7-4ca7-a730-1908a18fb129,nigg3r,nigger,"","",racial / ethnic slurs,none,none,3,Severe
4YNXDR4CKEZM,ce94503c-f6dd-4e3b-a4d2-492d490daabb,bada4481-a46c-4d08-8670-a2959c37aa42,packing fudge,fudge packer,"","",sexual anatomy / sexual acts,bodily fluids / excrement,none,2.4,Strong
6MGAKZMPP9PV,72caf24c-b9e9-480b-8e9c-97ce1d060b2d,6d9e5977-9b54-4844-bf52-769877cb94f1,niglet,nigger,"","",racial / ethnic slurs,none,none,3,Severe
YKFXDFCC3WM2,966bb787-618d-43e7-aae9-27096e142f78,628a392c-b88d-4329-9e50-bd464e36fc11,nigguhs,nigger,"","",racial / ethnic slurs,none,none,3,Severe
4FRFD66TK6XE,727492cb-eefa-49c4-bb61-7a047a65a578,58375e83-fb0d-4650-917d-a440110e8082,nigg@zzes,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
3MMFR6RXMZM2,06d96b53-b993-4074-b418-ca8047d394bc,ab7ae449-56a8-4719-b6c6-8308717b106f,p3nisfcker,penis,fuck,"",sexual anatomy / sexual acts,sexual orientation / gender,none,3,Severe
ZFEQJC4ERT29,982de4c1-e8cd-46e5-b65c-0dd94e4b6e76,c4ecab46-a4e9-440f-b472-2fe274257049,pedobears,pedophile,"","",other / general insult,animal references,none,2.2,Strong
DQF4H44Q9Y7G,4affe0f8-6b57-4964-8663-5ce6ca5aab83,f158fd28-0e2f-4369-952a-6ebfad8f550b,nigg@,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
7CA7ZZVKM7WF,4081c403-6c26-4752-b9a1-eb8e5e969087,a8437783-e8d9-4d00-a619-9525208984f9,peckerhead,pecker,"","",sexual anatomy / sexual acts,none,none,1.6,Strong
2TF6K69NCTKJ,984d43b3-1ea0-44a2-beec-08d017200a62,9fceb6dc-62a0-4e3b-8473-62f2614751c0,niggahz,nigger,"","",racial / ethnic slurs,none,none,3,Severe
T792AHKH46VR,a729c334-b6a8-447b-8c71-417f0eed6c6b,78389ff9-7f26-49cc-b469-4a6fcc0a6fda,nutsacks,nutsack,"","",sexual anatomy / sexual acts,none,none,1.6,Strong
T7FRE9A966VX,5602347e-1cec-49ee-a65f-98f1d92d1bbc,6fbfc7fe-80e3-40e0-ad36-038bbe2fbe55,nobs,knob,"","",sexual anatomy / sexual acts,none,none,1.2,Mild
Z7J7W3XCP4XC,cf19a563-efdf-4203-84a4-bb95011cd0d8,b136bcad-9cd2-4ecd-aa5f-55cd491bdc34,niggerz,nigger,"","",racial / ethnic slurs,none,none,3,Severe
Z239E43AATKE,c8cb5813-274d-4179-b102-e245f8b9655e,c0c3eb7d-7537-4cf4-addf-dfc3d5078c46,nignog,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
NE6AHWDY7MDY,56d93416-6229-4acc-93ac-54a7f60882a5,cafd49b4-e14e-4177-9be8-179f8e32fbb0,nigs,nigger,"","",racial / ethnic slurs,none,none,2.8,Severe
